group,n,approval_rate,mean_predicted_default,observed_default_rate,good_applicants,good_approval_rate,defaulted_applicants,bad_approval_rate,adverse_impact_ratio,below_four_fifths
336xx,541,0.9593345656192237,0.20492282081300972,0.22365988909426987,420.0,0.9833333333333333,121.0,0.8760330578512396,0.9775827774652416,False
070xx,1634,0.9596083231334149,0.19980075542069534,0.20501835985312117,1299.0,0.9807544264819091,335.0,0.8776119402985074,0.9778617423234528,False
115xx,570,0.9596491228070175,0.20157787108882877,0.23333333333333334,437.0,0.9748283752860412,133.0,0.9097744360902256,0.9779033180778033,False
782xx,893,0.9608062709966405,0.20738055484015816,0.21836506159014557,698.0,0.9756446991404012,195.0,0.9076923076923077,0.9790824772384245,False
553xx,849,0.9611307420494699,0.19446850794513862,0.18256772673733804,694.0,0.978386167146974,155.0,0.8838709677419355,0.9794131202949762,False
956xx,988,0.9615384615384616,0.1930325245484093,0.1862348178137652,804.0,0.9850746268656716,184.0,0.8586956521739131,0.9798285953177258,False
117xx,1339,0.9619118745332338,0.20046084815234844,0.22330097087378642,1040.0,0.9807692307692307,299.0,0.8963210702341137,0.9802091112770726,False
554xx,773,0.96248382923674,0.19821232788582221,0.18240620957309184,632.0,0.9683544303797469,141.0,0.9361702127659575,0.9807919455537433,False
210xx,614,0.9625407166123778,0.19361079291276584,0.16938110749185667,510.0,0.9823529411764705,104.0,0.8653846153846154,0.9808499150262003,False
440xx,534,0.9625468164794008,0.19921174405442788,0.1891385767790262,433.0,0.9792147806004619,101.0,0.8910891089108911,0.9808561309233025,False
891xx,1605,0.9626168224299065,0.2104567393873801,0.23426791277258566,1229.0,0.9780309194467046,376.0,0.9122340425531915,0.9809274685087364,False
852xx,1285,0.9626459143968872,0.18619509931176992,0.19221789883268484,1038.0,0.9759152215799615,247.0,0.9068825910931174,0.9809571138555236,False
752xx,783,0.9629629629629629,0.19199699903717127,0.17624521072796934,645.0,0.9844961240310077,138.0,0.8623188405797102,0.981280193236715,False
928xx,1032,0.9631782945736435,0.2024320479014159,0.187015503875969,839.0,0.9809296781883194,193.0,0.8860103626943006,0.9814996208291205,False
337xx,544,0.9632352941176471,0.1975995636746682,0.22058823529411764,424.0,0.9787735849056604,120.0,0.9083333333333333,0.9815577046035806,False
021xx,953,0.9632738719832109,0.1856160701206608,0.1626442812172088,798.0,0.9761904761904762,155.0,0.896774193548387,0.9815970162872394,False
080xx,1038,0.964354527938343,0.19745575417280697,0.22736030828516376,802.0,0.9812967581047382,236.0,0.9067796610169492,0.9826982281980398,False
